City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bagotville,-28.9833,153.4167,22.58,84,100,1.8,AU,1679954859
1,ushuaia,-54.8,-68.3,1.81,93,100,10.29,AR,1679954860
2,port alfred,-33.5906,26.891,16.21,78,98,1.79,ZA,1679954860
3,albany,42.6001,-73.9662,8.49,53,100,1.34,US,1679954860
4,upornaya,44.3914,41.0196,6.48,90,52,2.82,RU,1679954860
5,norman wells,65.282,-126.8329,-0.65,84,100,2.21,CA,1679954860
6,punta arenas,-53.15,-70.9167,5.06,65,20,11.83,CL,1679954861
7,fuyang,32.9,115.8167,8.19,77,98,3.09,CN,1679954861
8,cape town,-33.9258,18.4232,19.65,56,2,3.07,ZA,1679954861
9,kapaa,22.0752,-159.319,27.18,82,0,6.17,US,1679954861
10,faanui,-16.4833,-151.75,27.87,73,99,4.45,PF,1679954862
11,hermanus,-34.4187,19.2345,16.0,69,11,3.69,ZA,1679954862
12,khatanga,71.9667,102.5,-33.23,100,100,2.64,RU,1679954862
13,klaksvik,62.2266,-6.589,-1.49,64,81,5.5,FO,1679954862
14,bilibino,68.0546,166.4372,-21.07,89,90,1.29,RU,1679954863
15,sao felix do xingu,-6.6447,-51.995,23.78,92,99,0.35,BR,1679954863
16,spencer,43.1414,-95.1444,4.86,54,0,5.66,US,1679954864
17,dubai,25.2582,55.3047,25.16,69,30,2.57,AE,1679954717
18,georgetown,5.4112,100.3354,25.96,83,20,0.51,MY,1679954699
19,elat,29.5581,34.9482,18.91,45,0,2.57,IL,1679954864
20,hithadhoo,-0.6,73.0833,27.44,79,100,4.5,MV,1679954864
21,severo-kurilsk,50.6789,156.125,0.07,87,99,9.66,RU,1679954864
22,agadez,19.75,10.25,21.74,14,0,2.1,NE,1679954772
23,bredasdorp,-34.5322,20.0403,15.44,74,18,1.69,ZA,1679954865
24,hamilton,39.1834,-84.5333,11.16,67,100,7.2,US,1679954753
25,mataura,-46.1927,168.8643,9.15,86,76,2.94,NZ,1679954865
26,ndende,-2.4008,11.3581,22.94,98,100,0.82,GA,1679954865
27,vaini,-21.2,-175.2,25.09,100,100,4.12,TO,1679954866
28,mandalgovi,45.7625,106.2708,0.94,33,60,2.92,MN,1679954866
29,rikitea,-23.1203,-134.9692,26.62,78,73,7.58,PF,1679954866
30,tiarei,-17.5333,-149.3333,31.01,74,98,3.24,PF,1679954867
31,bluff,-46.6,168.3333,9.33,55,69,9.73,NZ,1679954867
32,hilo,19.7297,-155.09,25.9,83,75,3.58,US,1679954693
33,cancun,21.1743,-86.8466,28.92,65,40,7.72,MX,1679954731
34,kutum,14.2,24.6667,20.8,23,41,5.29,SD,1679954867
35,isangel,-19.55,169.2667,27.4,76,77,2.69,VU,1679954867
36,east london,-33.0153,27.9116,16.72,69,45,5.85,ZA,1679954868
37,yulara,-25.2406,130.9889,20.87,76,44,3.98,AU,1679954868
38,lorengau,-2.0226,147.2712,27.81,77,90,1.92,PG,1679954869
39,ponta do sol,32.6667,-17.1,20.62,20,8,2.05,PT,1679954829
40,nieuw amsterdam,5.8833,-55.0833,27.23,77,40,1.03,SR,1679954869
41,sidney,-33.8679,151.2073,22.37,81,0,2.57,AU,1679954852
42,dalvik,65.9702,-18.5286,-3.34,89,99,1.84,IS,1679954869
43,busselton,-33.65,115.3333,11.59,88,0,4.17,AU,1679954870
44,zyryanka,65.75,150.85,-16.88,82,15,5.31,RU,1679954870
45,yellowknife,62.456,-114.3525,-13.02,46,100,1.34,CA,1679954870
46,pokosnoye,55.5258,101.0536,1.69,84,100,6.06,RU,1679954871
47,waipawa,-41.4122,175.5153,17.82,57,58,5.26,NZ,1679954871
48,katsuura,35.1333,140.3,12.22,78,100,7.14,JP,1679954871
49,bukachacha,52.9833,116.9167,-7.7,100,99,0.6,RU,1679954871
50,lebu,-37.6167,-73.65,14.18,78,39,1.56,CL,1679954873
51,fortuna,40.5982,-124.1573,12.03,43,20,9.77,US,1679954616
52,bengkulu,-3.8004,102.2655,24.4,87,100,1.82,ID,1679954873
